Player Name,Team/Club,League,Position,Jersey Number,Age,Height,Weight,Nationality,Matches Played,Minutes Played,Goals,Assists,Shots,Shots on Target,Pass Completion %,Yellow Cards,Red Cards,Clean Sheets,Saves,Profile URL,Date Scraped
Name,Liverpool,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:56
David Raya,Liverpool,Premier League,David Raya1,30.0,,,,,1.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/196176/david-raya,2025-09-28 21:26:56
Kepa Arrizabalaga,Liverpool,Premier League,Kepa Arrizabalaga13,30.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/169532/kepa-arrizabalaga,2025-09-28 21:26:56
Name,Manchester City,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:56
Tommy Setford,Liverpool,Premier League,Tommy Setford35,19.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/343573/tommy-setford,2025-09-28 21:26:56
James Trafford,Manchester City,Premier League,James Trafford1,22.0,,,,,1.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/307118/james-trafford,2025-09-28 21:26:56
Stefan Ortega,Manchester City,Premier League,Stefan Ortega18,32.0,,,,,0.0,,0.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/151855/stefan-ortega,2025-09-28 21:26:56
Marcus Bettinelli,Manchester City,Premier League,Marcus Bettinelli13,33.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/177545/marcus-bettinelli,2025-09-28 21:26:56
Name,Manchester United,Premier League,Name,,,,,,,,,,,,,,,,,,2025-09-28 21:26:56
Gianluigi Donnarumma,Manchester City,Premier League,Gianluigi Donnarumma25,26.0,,,,,0.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/217092/gianluigi-donnarumma,2025-09-28 21:26:56
Nick Pope,Manchester United,Premier League,G,33.0,,,,,0.0,,1.0,0.0,,,,,,,,https://www.espn.com/soccer/player/_/id/161715/nick-pope,2025-09-28 21:26:56
Mark Gillespie,Manchester United,Premier League,Mark Gillespie29,33.0,,,,,,,,,,,,,,,,https://www.espn.com/soccer/player/_/id/141705/mark-gillespie,2025-09-28 21:26:56
